code postal;population;année
1440;19909;2017
1450;64493;2017
1460;125170;2017
1470;269525;2017
1480;210902;2017
1500;140838;2017
1510;1966661;2017
1550;33164;2017
1560;175200;2017
1570;234805;2017
1580;38957;2017
1600;165023;2017
1680;83533;2017
1700;233295;2017
1800;246203;2017
2000;61172;2017
2100;58228;2017
2110;98342;2017
2120;171433;2017
2130;131039;2017
2140;138677;2017
2150;44770;2017
2160;39801;2017
2190;153675;2017
2200;50830;2017
2210;111690;2017
2220;230098;2017
2240;272367;2017
2250;63497;2017
2260;43259;2017
2270;15983;2017
2290;304720;2017
2300;624609;2017
2310;19685;2017
2320;500252;2017
2330;147594;2017
2340;4367;2017
2350;131840;2017
2360;317383;2017
2370;27576;2017
2380;34118;2017
2390;16316;2017
2400;280363;2017
2410;66639;2017
2420;183870;2017
2440;113079;2017
2450;25852;2017
2460;11250;2017
2470;70536;2017
2480;121891;2017
2490;32287;2017
2500;21443;2017
2510;1929;2017
2520;14306;2017
2540;708;2017
2570;41572;2017
2580;48543;2017
2590;58841;2017
2600;54153;2017
2650;20440;2017
2670;14425;2017
2680;71378;2017
2700;259186;2017
2760;53857;2017
2800;14328;2017
2810;140519;2017
2820;48710;2017
2830;619081;2017
2840;200900;2017
2850;9478;2017
2860;111271;2017
2870;8599;2017
2880;428714;2017
3000;14781;2017
3100;29092;2017
3110;722294;2017
3120;783840;2017
3130;112614;2017
3140;1474885;2017
3150;261830;2017
3160;134430;2017
3170;226728;2017
3190;20846;2017
3200;25004;2017
3210;501936;2017
3220;600014;2017
3230;152166;2017
3240;51898;2017
3250;54390;2017
3260;418118;2017
3290;24014;2017
3300;181616;2017
3310;34505;2017
3320;42368;2017
3330;346035;2017
3340;1000011;2017
3350;52852;2017
3360;48347;2017
3370;98179;2017
3380;119777;2017
3390;91631;2017
3400;180790;2017
3410;178713;2017
3420;49143;2017
3430;7647;2017
3450;33310;2017
3470;84551;2017
3500;378659;2017
3600;20185;2017
3800;28111;2017
4000;63679;2017
4100;80595;2017
4110;11723;2017
4120;614295;2017
4130;2006656;2017
4140;70258;2017
4200;477119;2017
4230;43972;2017
4240;195903;2017
4250;11664;2017
4270;126882;2017
4280;69835;2017
